device_name,test_name,baseline_wph
12kChamber,test1,87.775
12kChamber,test2,87.774
12kChamber,test3,87.685
12kChamber,test6,87.775
12kChamber,test7,88.192
12kChamber,test8,88.192
12kChamber,test9,23.108
12kChamber,test10,13.213
12kChamber,test11,81.593
12kChamber,test12,87.671
12kChamber,test13,70.533
12kChamber,test14,59.198
12kChamber,test17,56.566
12kChamber,test18,30.325
12kChamber,test19,47.253
12kChamber,test25,13.049
12kChamber,test26,4.397
12kChamber,test27,3.493
12kChamber,test28,3.497
12kChamber,test29,7.506
12kChamber,test30,3.547
12kChamber,test31,71.069
12kChamber,test32,70.649
12kChamber,test33,69.346
12kChamber,test36,21.597
12kChamber,test37,26.435
12kChamber,test38,17.584
12kChamber,test41,15.881
12kChamber,test42,69.223
12kChamber,test43,17.807
12kChamber,test46,27.535
12kChamber,test47,17.478
12kChamber,test50,69.271
12kChamber,test51,77.107
12kChamber,test52,27.297
12kChamber,test53,17.478
12kChamber,test56,27.567
12kChamber,test57,25.946
12kChamber,test58,15.115
12kChamber,test62,22.477
12kChamber,test63,86.99
12kChamber,test64,86.99
12kChamber,test67,87.443
12kChamber,test68,30.66
12kChamber,test69,61.7
12kChamber,test72,90.006
12kChamber,test73,87.457
12kChamber,test74,87.457
12kChamber,test75,86.99
12kChamber,test76,26.032
12kChamber,test77,48.87
12kChamber,test80,18.945
12kChamber,test81,25.955
12kChamber,test82,23.243
12kChamber,test85,18.945
12kChamber,test86,30.616
12kChamber,test87,46.389
12kChamber,test90,18.946
12kChamber,test91,27.483
12kChamber,test92,44.392
12kChamber,test95,18.946
12kChamber,test96,14.128
12kChamber,test97,23.123
12kChamber,test100,9.529
12kChamber,test101,69.348
12kChamber,test102,69.068
12kChamber,test103,69.348
12kChamber,test106,56.105
12kChamber,test107,30.327
12kChamber,test108,47.302
12kChamber,test111,61.144
12kChamber,test112,69.085
12kChamber,test113,48.092
12kChamber,test116,24.703
12kChamber,test117,17.457
12kChamber,test118,28.835
12kChamber,test119,69.348
12kChamber,test120,28.835
12kChamber,test121,83.546
12kChamber,test122,83.546
12kChamber,test123,88.146
12kChamber,test124,88.192
12kChamber,test125,3.497
12kChamber,test126,3.497
12kChamber,test127,3.497
12kChamber,test128,3.497
12kChamber,test129,68.712
12kChamber,test130,3.496
PSE300,test1,25.729
PSE300,test2,25.782
PSE300,test3,26.237
PSE300,test6,26.372
PSE300,test7,26.418
PSE300,test8,26.418
PSE300,test11,76.614
PSE300,test12,57.643
PSE300,test13,74.107
PSE300,test16,48.186
PSE300,test17,19.974
PSE300,test18,20.792
PSE300,test19,23.036
PSE300,test28,18.385
PSE300,test29,33.868
PSE300,test37,8.672
PSE300,test42,25.572
PSE300,test47,25.572
PSE300,test48,23.036
PSE300,test52,14.436
PSE300,test56,14.694
PSE300,test57,14.663
PSE300,test58,15.059
PSE300,test63,48.186
PSE300,test64,61.704
PSE300,test65,78.968
PSE300,test66,7.045
PSE300,test67,17.599
PSE300,test70,3.636
PSE300,test71,39.678
PSE300,test73,1.837
PSE300,test78,2.705
PSE300,test79,3.617
PSE300,test80,1.935
PSE300,test81,2.301
PSE300,test82,14.988
PSE300,test83,3.999
PSE300,test84,8.997
PSE300,test85,13.836
PSE300,test86,26.474
PSE300,test87,21.689
PSE300,test88,8.353
PSE300,test89,16.668
PSE300,test90,29.757
PSE300,test91,4.157
PSE300,test92,41.87
PSE300,test93,37.543
PSE300,test94,26.492
PSE300,test95,63.808
PSE300,test96,3.544
PSE300,test97,59.162
PSE300,test98,26.492
PSE300,test99,70.077
PSE300,test100,15.937
PSE300,test101,26.063
PSE300,test102,25.786
PSE300,test115,26.108
PSE300,test118,26.525
PSE300,test119,26.445
PSE300,test120,26.46
PSE300,test123,47.572
PSE300,test124,19.974
PSE300,test125,19.117
PSE300,test126,23.036
PSE300,test129,18.964
PSE300,test130,25.377
PSE300,test132,25.377
TWINS,TS-1,87.979
TWINS,TS-2,87.05
TWINS,TS-3,88.692
TWINS,TS-4,88.436
TWINS,TS-5,86.036
TWINS,TS-6,88.692
TWINS,TS-7,58.963
TWINS,TS-8,63.762
TWINS,TS-9,90.375
TWINS,TS-10,90.375
TWINS,TS-11,103.431
TWINS,TS-12,99.207
TWINS,TS-13,101.893
TWINS,TS-14,102.773
TWINS,TS-15,95.215
TWINS,TS-16,100.522
TWINS,TS-17,103.431
TWINS,TS-18,103.655
TWINS,TS-19,65.031
TWINS,TS-20,36.175
TWINS,TS-21,95.215
TWINS,TS-22,100.522
TWINS,TS-23,37.755
TWINS,TS-24,106.442
TWINS,TS-25,106.442
TWINS,TS-26,106.442
TWINS,TS-27,106.422
TWINS,TS-28,106.422
TWINS,TS-29,106.442
TWINS,TS-30,106.422
TWINS,TS-31,102.648
TWINS,TS-32,101.784
TWINS,TS-33,100.539
TWINS,TS-34,101.987
TWINS,TS-35,99.881
TWINS,TS-36,97.134
TWINS,TS-37,52.541
TWINS,TS-38,96.812
TWINS,TS-39,82.637
TWINS,TS-40,67.494
TWINS,TS-41,106.442
TWINS,TS-42,47.334
TWINS,TS-43,56.546
TWINS,TS-44,106.442
TWINS,TS-45,31.02
TWINS,TS-46,106.442
TWINS,TS-47,87.798
TWINS,TS-48,86.269
TWINS,TS-49,50.755
TWINS,TS-50,84.257
TWINS,TS-51,29.244
TWINS,TS-52,76.118
TWINS,TS-53,89.638
TWINS,TS-54,31.02
TWINS,TS-55,91.815
TWINS,TS-56,91.815
TWINS,TS-57,55.255
TWINS,TS-58,55.011
TWINS,TS-59,54.603
TWINS,TS-60,53.741
TWINS,TS-61,53.165
TWINS,TS-62,54.134
TWINS,TS-64,92.164
TWINS,TS-65,92.958
TWINS,TS-67,87.808
TWINS,TS-68,92.958
TWINS,TS-69,58.963
TWINS,TS-70,39.44
TWINS,TS-71,88.697
TWINS,TS-72,90.028
TWINS,TS-73,86.338
TWINS,TS-74,93.46
TWINS,TS-75,97.247
TWINS,TS-76,109.579
TWINS,TS-77,37.755
TWINS,TS-78,85.15
TWINS,TS-79,115.982
TWINS,TS-81,68.21
TWINS,TS-83,68.21
TWINS,TS-84,62.205
TWINS,TS-85,23.003
TWINS,TS-86,99.687
TWINS,TS-87,94.826
TWINS,TS-88,100.716
TWINS,TS-89,99.572
TWINS,TS-90,98.054
TWINS,TS-91,100.716
TWINS,TS-92,12.585
TWINS,TS-93,85.15
TWINS,TS-94,106.442
TWINS,TS-95,67.661
TWINS,TS-96,83.87
TWINS,TS-97,50.474
TWINS,TS-99,50.474
TWINS,TS-100,15.251
TWINS,TS-101,52.876
TWINS,TS-102,52.653
TWINS,TS-103,53.627
TWINS,TS-104,52.646
TWINS,TS-105,52.338
TWINS,TS-106,53.451
TWINS,TS-107,83.961
TWINS,TS-108,83.961
TWINS,TS-109,81.441
TWINS,TS-110,73.861
TWINS,TS-116,28.679
TWINS,TS-117,28.679
TWINS,TS-118,47.818
TWINS,TS-119,39.44
TWINS,TS-120,106.442
TWINS,TS-121,106.442
TWINS,TS-122,106.442
TWINS,TS-123,106.442
TWINS,TS-124,39.44
TWINS,TS-125,39.44
TWINS,TS-126,39.44
TWINS,TS-127,39.44
TWINS,TS-128,106.442
TWINS,TS-129,106.442
TWINS,TS-130,23.003
